Source	Target	Weight	Date	Class
indonesiacallscartercenter	ilchoaxdibasmiuuterorisme	1	2019-03-26	Misleading News
indonesiacallsobservers	ilchoaxdibasmiuuterorisme	1	2019-03-26	Misleading News
banserlaknatullah	bubarkanbanser	1	2018-10-22	Misleading News
2019prabowosandimenang	prabowopresiden	1	2018-10-09	False News
2019prabowosandimenang	prabowopresiden	1	2018-10-07	Other 2
2019prabowosandimenang	prabowosandimenang	1	2018-10-09	False News
2019prabowosandimenang	adilmakmur	1	2018-10-09	False News
2019prabowosandimenang	adilmakmur2	1	2018-10-09	False News
2019prabowosandimenang	indonesiacallsobsever	1	2019-03-25	True News
2019prabowosandimenang	relawanprabowosandi	1	2018-10-07	Other 2
prabowopresiden	prabowosandimenang	1	2018-10-09	False News
prabowopresiden	adilmakmur	1	2018-10-09	False News
prabowopresiden	adilmakmur2	1	2018-10-09	False News
prabowopresiden	teganianpakmulyono	1	2018-10-07	Other 1
prabowopresiden	prabowosandi02	1	2018-10-07	Other 1
prabowopresiden	relawanprabowosandi	1	2018-10-07	Other 2
prabowosandimenang	adilmakmur	1	2018-10-09	False News
prabowosandimenang	adilmakmur2	1	2018-10-09	False News
adilmakmur	adilmakmur2	1	2018-10-09	False News
adilmakmur	2019prabowopresiden	1	2019-02-05	False News
adilmakmur	2019prabowopresiden	1	2018-11-27	True News
adilmakmur	prabowo	1	2019-02-05	False News
adilmakmur	prabowo	1	2019-01-16	False News
adilmakmur	pidatokebangsaanprabowo	1	2019-01-16	False News
adilmakmur	pemilu2019	1	2019-01-16	False News
adilmakmur	17aprilcoblosnomor2	1	2019-01-16	False News
adilmakmur	17aprilcoblosprabowosandi	1	2019-01-16	False News
adilmakmur	rakyatinginkanperubahan	1	2019-01-16	False News
adilmakmur	indonesiamenang	1	2019-01-16	False News
adilmakmur	cbw	1	2018-11-26	Misleading News
adilmakmur	galangperjuanganps	1	2018-11-27	True News
adilmakmur	bni8495002001000002	1	2018-11-27	True News
adilmakmur	tahunbarupresidenbaru	1	2019-01-01	False News
adilmakmur	tablighakbardoauntukbangsa	1	2018-09-29	Other 1
