Source	Target	Weight	Date	Class
benzlife888	y_radianto	1	2019-02-17	False News
benzlife888	farelmaxl	1	2019-02-17	False News
benzlife888	anggrekmatahari	1	2019-02-17	False News
benzlife888	bhd_58	1	2019-02-17	False News
benzlife888	namaku_mei	1	2019-02-17	False News
benzlife888	kornhurry	1	2019-02-17	False News
benzlife888	thearieair	1	2019-02-17	False News
benzlife888	aryprasetyo85	1	2019-02-17	False News
benzlife888	nanedianti	1	2019-02-17	False News
benzlife888	purwo82092883	1	2019-02-17	False News
danangpnp	lord_kobra	1	2019-04-03	Other 1
danangpnp	dandhy_laksono	1	2019-04-03	Other 1
danangpnp	robinavicula	1	2019-04-03	Other 1
danangpnp	jjrizal	1	2019-04-03	Other 1
danangpnp	kementrianpert1	1	2019-04-03	Other 1
danangpnp	yusing	1	2019-04-03	Other 1
kontras	jokowi	1	2019-04-01	True News
imam_shbdn	kiyai_marufamin	1	2019-04-01	True News
imam_shbdn	jokowi	1	2019-04-01	True News
warlordswag	jokowi	1	2019-03-30	Other 1
nyanyianjiwa_	iwanfals	1	2019-01-31	False News
callmekanjeng	okezonenews	1	2019-05-07	False News
callmekanjeng	divhumas_polri	1	2019-05-09	True News
callmekanjeng	ccicpolri	1	2019-05-09	True News
callmekanjeng	bareskrimpolri	1	2019-05-09	True News
callmekanjeng	aduankonten	1	2019-05-09	True News
agozaimas	jokowi	1	2019-04-15	Misleading News
davitku73991834	jokowi	1	2019-04-15	True News
monsterxtraa	jokowi	1	2018-10-23	Other 2
kerjaduaperiode	prabowo	1	2018-12-28	False News
kerjaduaperiode	jokowi	1	2018-12-28	False News
ferrymaitimu	jokowi	1	2018-12-28	False News
gradiana2	jokowi	1	2018-12-29	False News
ulihmuslih1453	rokhmatlabib	1	2019-02-22	False News
imanabualif1	rosidinhq	1	2019-02-22	False News
noperhan	prabowo	1	2018-12-11	Other 1
noperhan	prabowo	1	2019-05-01	False News
noperhan	jokowi	1	2018-12-11	Other 1
noperhan	fadlizon	1	2019-05-01	False News
cak_bram75	prabowo	1	2018-12-11	Other 1
ahlulqohwah	mardanialisera	1	2018-10-12	True News
info_partim	jersey_lokal	1	2018-10-10	Other 1
ecwx48	susipudjiastuti	1	2019-04-10	True News
ecwx48	_tnial_	1	2019-04-10	True News
inong911	_tnial_	1	2019-04-10	False News
inong911	puspen_tni	1	2019-04-10	False News
putrajayahs	karniilyas	1	2018-12-04	False News
putrajayahs	tvonenews	1	2018-12-04	False News
harianduta	karniilyas	1	2018-12-04	False News
detikfinance	20detik	1	2018-10-22	False News
cagubnyinyir2	alpinkori	1	2019-01-27	True News
cagubnyinyir2	naysyanie2	1	2019-01-27	True News
cagubnyinyir2	leowijaya8	1	2019-01-27	True News
cagubnyinyir2	doakan_1	1	2019-01-27	True News
cagubnyinyir2	jokosetiatno	1	2019-01-27	True News
cagubnyinyir2	dahnilanzar	2	2019-03-13	True News
cagubnyinyir2	priakolorijo	1	2019-03-13	True News
cagubnyinyir2	fadlizon	2	2019-03-13	True News
cagubnyinyir2	yaspayelunggam1	2	2019-03-13	True News
cagubnyinyir2	bangjar14680450	1	2019-03-13	True News
cagubnyinyir2	yoyoksubandriy3	1	2019-03-13	True News
cagubnyinyir2	salambudi1	1	2019-03-13	True News
